Unnamed: 0,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price
0,The ArchitecturalImagination…,https://www.edx.org/course/the-architectural-imagination,https://prod-discovery.edx-cdn.org/media/course/image/8c411679-4105-4de9-8a4c-9c5b3f4a33a6-8e968ff5d2c3.jpg,['Introductory'],['3–5 hours per week'],['10 Weeks'],['English'],['English'],['$199 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"415,051",Architecture,HarvardX: The Architectural Imagination,4.7,51,565890,249
1,The Path to Happiness:What Chinese PhilosophyTeaches us about the G……,https://www.edx.org/course/the-path-to-happiness,https://prod-discovery.edx-cdn.org/media/course/image/30bf5a48-c40b-49ae-86d9-0a7cd75ae56e-a6cda063cfd6.jpeg,['Introductory'],['1–2 hours per week'],['13 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"29,623",Philosophy & Ethics,HarvardX: The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,4.7,30,130686,149
2,Pyramids of Giza: AncientEgyptian Art andArchaeology…,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol,https://prod-discovery.edx-cdn.org/media/course/image/d32bba34-f516-4116-bf61-9c6b124c3e3c-021bf104cfdd.jpg,['Introductory'],['2–4 hours per week'],['8 Weeks'],['English'],['English'],['$149 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"127,414",Art & Culture,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,None,None,178825,219
3,"U.S. Public Policy: Social,Economic, and ForeignPolicies…",https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic,https://prod-discovery.edx-cdn.org/media/course/image/356d8a70-fc0b-4a75-9c3e-eb9f87f6d85c-286e210cc8d7.png,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"46,472",Social Sciences,"HarvardX: U.S. Public Policy: Social, Economic, and Foreign Policies",4.9,36,81922,149
4,"Women Making History:Ten Objects, ManyStories…",https://www.edx.org/course/women-making-history-ten-objects-many-stories,https://prod-discovery.edx-cdn.org/media/course/image/fe3bf07f-bc54-49db-b8ff-28eb54692ac6-62ef926a0655.jpg,['Introductory'],['2–3 hours per week'],['8 Weeks'],['English'],['English'],['$139 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"40,788",History,"HarvardX: Women Making History: Ten Objects, Many Stories",5.0,5,68103,209
5,Buddhism Through ItsScriptures…,https://www.edx.org/course/buddhism-through-its-scriptures,https://prod-discovery.edx-cdn.org/media/course/image/8820abc8-45a1-4ec1-ad51-d2a020ae4ef2-a65bd9ef1946.png,['Introductory'],['5–10 hours per week'],['4 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"184,691",Humanities,HarvardX: Buddhism Through Its Scriptures,4.8,12,212874,149
6,Masterpieces of WorldLiterature…,https://www.edx.org/course/masterpieces-of-world-literature,https://prod-discovery.edx-cdn.org/media/course/image/3204fe1c-e279-4948-abf3-37df0e0ff5ff-2c54ff277a05.jpg,['Introductory'],['5–7 hours per week'],['12 Weeks'],['English'],['English'],['$199 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"91,907",Literature,HarvardX: Masterpieces of World Literature,4.7,21,149988,299
7,"Religion, Conflict andPeace…",https://www.edx.org/course/religion-conflict-and-peace,https://prod-discovery.edx-cdn.org/media/course/image/47faf271-5dce-455e-8308-9bb903f1d697-2b3c718adf92.jpg,['Introductory'],['4–8 hours per week'],['8 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"76,302",Humanities,"HarvardX: Religion, Conflict and Peace",4.8,42,122706,149
8,Hinduism Through ItsScriptures…,https://www.edx.org/course/hinduism-through-its-scriptures,https://prod-discovery.edx-cdn.org/media/course/image/f5e6e97c-1c6e-4943-9f3d-8cd366aaec66-284c695984c5.jpg,['Introductory'],['5–10 hours per week'],['4 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"142,438",Humanities,HarvardX: Hinduism Through Its Scriptures,4.6,10,161195,149
9,American Government:ConstitutionalFoundations…,https://www.edx.org/course/american-government-constitutional-foundations,https://prod-discovery.edx-cdn.org/media/course/image/ac54aecf-26c9-4e7e-a3be-82a9bec871b3-c0d83d235303.png,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"37,691",Social Sciences,HarvardX: American Government: Constitutional Foundations,4.7,23,63826,149
10,"CitiesX: The Past,Present and Future ofUrban Life…",https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life,https://prod-discovery.edx-cdn.org/media/course/image/e497f49a-11af-4e68-9d0d-284b1fff5250-12020d5212c0.jpg,['Introductory'],['5–7 hours per week'],['11 Weeks'],['English'],"['English, Português']",['$169 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"79,152",Social Sciences,"HarvardX: CitiesX: The Past, Present and Future of Urban Life",4.6,25,111950,249
