Unnamed: 0,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price
118,Ancient EgyptianCivilization…,https://www.edx.org/course/ancient-egyptian-civilization,https://prod-discovery.edx-cdn.org/media/course/image/cfbf2715-aef8-47ac-9e41-af57e92288d9-6a4ae11c38c6.png,['Introductory'],[],['5 Weeks'],['English'],"['English', 'English']",['$25 USD'],['Bibliotheca Alexandrina'],['https://www.edx.org/school/bax'],not-mentioned,None,None,None,None,None,None
119,The World History ofModern Wine…,https://www.edx.org/course/the-world-history-of-modern-wine,https://prod-discovery.edx-cdn.org/media/course/image/0af6995d-ecda-4835-a4fb-a52fa5b3b745-1c64a5058948.jpg,['Introductory'],['2–5 hours per week'],['6 Weeks'],['English'],['English'],['$50 USD'],['Trinity College'],['https://www.edx.org/school/trinityx'],not-mentioned,History,TrinityX: The World History of Modern Wine,None,None,Unknown,50
120,Global Muckraking:Investigative Journalismand Global Media…,https://www.edx.org/course/global-muckraking-investigative-journalism-and-glo,https://prod-discovery.edx-cdn.org/media/course/image/2afd97f1-1346-4229-94b5-026326d1bf5b-fa84fc369546.png,['Introductory'],['3–5 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],['Columbia University'],['https://www.edx.org/school/columbiax'],not-mentioned,Communication,ColumbiaX: Global Muckraking: Investigative Journalism and Global Media,None,None,Unknown,49
121,Saving Schools:Reforming the U.S.Education System…,https://www.edx.org/course/saving-schools-reforming-the-us-education-system,https://prod-discovery.edx-cdn.org/media/course/image/7932718c-7d7d-4df9-bf26-4e35b44fa588-e1a11b7f0b89.png,['Introductory'],['3–5 hours per week'],['10 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,Social Sciences,HarvardX: Saving Schools: Reforming the U.S. Education System,None,None,Unknown,99
122,History of ChineseArchitecture | 中国建筑史…,https://www.edx.org/course/history-of-chinese-architecture-2,https://prod-discovery.edx-cdn.org/media/course/image/bee7c754-ed63-4718-84b5-f3ef90400b40-647daf42bdb0.jpg,['Introductory'],[],['16 Weeks'],['English'],"['English, 中文', 'English, 中文']",[],['Tsinghua University'],['https://www.edx.org/school/tsinghuax'],not-mentioned,Humanities,TsinghuaX: History of Chinese Architecture | 中国建筑史,None,None,Unknown,Unknown
123,"Invasions, Rebellions, andthe Fall of Imperial China…",https://www.edx.org/course/invasions-rebellions-and-the-fall-of-imperial-chin,https://prod-discovery.edx-cdn.org/media/course/image/aabfe220-b4c1-4975-b7d1-b33475d1010f-d00ee1e6f348.jpg,['Introductory'],['1–3 hours per week'],['15 Weeks'],['English'],"['English, 中文']",['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"41,742",History,"HarvardX: Invasions, Rebellions, and the Fall of Imperial China",4.3,6,45332,149
124,The Science of Religion…,https://www.edx.org/course/the-science-of-religion,https://prod-discovery.edx-cdn.org/media/course/image/b83a0e49-0023-4918-a8c2-822770dd397e-2a5f6ab89391.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['English'],['English'],['$49 USD'],['University of British Columbia'],['https://www.edx.org/school/ubcx'],not-mentioned,Humanities,UBCx: The Science of Religion,None,None,Unknown,49
125,American Capitalism: AHistory…,https://www.edx.org/course/american-capitalism-a-history,https://prod-discovery.edx-cdn.org/media/course/image/0d4cbce6-872e-4726-9ff8-d3668b3262de-9622f57a932f.jpg,['Introductory'],[],['4 Weeks'],['English'],"['English', 'English']",['$25 USD'],['Cornell University'],['https://www.edx.org/school/cornellx'],not-mentioned,Humanities,CornellX: American Capitalism: A History,None,None,Unknown,Unknown
126,Ideas of the TwentiethCentury…,https://www.edx.org/course/ideas-of-the-twentieth-century,https://prod-discovery.edx-cdn.org/media/course/image/c974999d-2b1b-46fb-b5ba-72247e9a8646-a3066d011773.png,['Introductory'],['4–6 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['The University of Texas at Austin'],['https://www.edx.org/school/utaustinx'],not-mentioned,None,None,None,None,None,None
127,Introduction to ItalianOpera…,https://www.edx.org/course/introduction-to-italian-opera,https://prod-discovery.edx-cdn.org/media/course/image/37548628-dc58-4ea1-b79d-43f72f5697cc-c6b5056a827c.jpg,['Introductory'],['3–4 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Dartmouth College'],['https://www.edx.org/school/dartmouthx'],not-mentioned,Art & Culture,DartmouthX: Introduction to Italian Opera,None,None,Unknown,49
128,Early Christianity: TheLetters of Paul…,https://www.edx.org/course/early-christianity-the-letters-of-paul,https://prod-discovery.edx-cdn.org/media/course/image/361522c8-485f-45aa-adc0-f0a061e39c0a-72178987bb38.jpg,['Introductory'],[],['12 Weeks'],['English'],"['English', 'English']",[],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,None,None,None,None,None,None
129,Interpreting VernacularArchitecture in Asia…,https://www.edx.org/course/interpreting-vernacular-architecture-in-asia,https://prod-discovery.edx-cdn.org/media/course/image/37e7a1d3-bd6d-40e1-8edd-c42581d17545-04c16c0870d9.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['English'],['中文'],['$50 USD'],['University of Hong Kong'],['https://www.edx.org/school/hkux'],not-mentioned,Architecture,HKUx: Interpreting Vernacular Architecture in Asia,None,None,8014,50
130,Biblical Archaeology: Thearchaeology of ancientIsrael and Judah…,https://www.edx.org/course/biblical-archaeology-the-archaeology-of-ancient-is,https://prod-discovery.edx-cdn.org/media/course/image/85c4f61b-a3d2-4687-82a1-5ebef1fed64f-cb5ee8dce814.png,['Introductory'],['3–4 hours per week'],['8 Weeks'],['English'],"['English, Español, עברית, Português']",['$49 USD'],['IsraelX'],['https://www.edx.org/school/israelx'],not-mentioned,History,IsraelX: Biblical Archaeology: The archaeology of ancient Israel and Judah,4.7,7,Unknown,119
131,Introduction to HumanEvolution…,https://www.edx.org/course/introduction-to-human-evolution-2,https://prod-discovery.edx-cdn.org/media/course/image/1de1d269-886e-4c59-955c-145f12de1885.jpg,['Introductory'],['4–6 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['Wellesley College'],['https://www.edx.org/school/wellesleyx'],not-mentioned,Humanities,WellesleyX: Introduction to Human Evolution,None,None,Unknown,Unknown
132,Housing and Cities…,https://www.edx.org/course/housing-and-cities,https://prod-discovery.edx-cdn.org/media/course/image/9aa2c324-be48-41bc-be8e-b7565628b315-89d24e5c921b.jpg,['Intermediate'],['2–3 hours per week'],['10 Weeks'],['English'],['English'],['$139 USD'],['École polytechnique fédérale de Lausanne'],['https://www.edx.org/school/epflx'],not-mentioned,Architecture,EPFLx: Housing and Cities,None,None,14478,179
133,"Central Challenges ofAmerican NationalSecurity, Strategy, and t……",https://www.edx.org/course/central-challenges-of-american-national-security-3,https://prod-discovery.edx-cdn.org/media/course/image/52b17adc-3c01-4803-a7a2-66e7dbe187a7-b64a2558cc7b.jpg,['Intermediate'],[],['4 Weeks'],['English'],"['English', 'English']",['$100 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,None,None,None,None,None,None
134,International Politics inthe Korean Peninsula…,https://www.edx.org/course/international-politics-in-the-korean-peninsula,https://prod-discovery.edx-cdn.org/media/course/image/cfd403ef-bccf-45a6-972a-5d4c48a80ed3-03ff2ac6be37.jpg,['Introductory'],['1–2 hours per week'],['4 Weeks'],['한국어'],"['English, 한국어']",['$49 USD'],['Seoul National University'],['https://www.edx.org/school/snux'],not-mentioned,Social Sciences,SNUx: International Politics in the Korean Peninsula,None,None,Unknown,54
135,The Civil War andReconstruction –1865-1890: The Unfinis……,https://www.edx.org/course/the-civil-war-and-reconstruction-1865-1890-the-unf,https://prod-discovery.edx-cdn.org/media/course/image/6d29c9eb-e621-4eec-ace1-3a46b7fbec45-9af4f56bfcc1.jpg,['Intermediate'],['6–8 hours per week'],['15 Weeks'],['English'],['English'],['$50 USD'],['Columbia University'],['https://www.edx.org/school/columbiax'],not-mentioned,Humanities,ColumbiaX: The Civil War and Reconstruction – 1865-1890: The Unfinished Revolution,5.0,7,Unknown,50
136,Creating a Digital CulturalHeritage Community…,https://www.edx.org/course/creating-a-digital-cultural-heritage-community,https://prod-discovery.edx-cdn.org/media/course/image/4b6bbcbd-d6b6-4ea6-9ae6-1bcfcdd632ac-dca219035624.jpeg,['Intermediate'],['2–5 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['KU Leuven'],['https://www.edx.org/school/kuleuvenx'],not-mentioned,Art & Culture,KULeuvenX: Creating a Digital Cultural Heritage Community,None,None,Unknown,49
137,日本文化艺术专题 | JapaneseCulture and Art…,https://www.edx.org/course/japanese-culture-and-art,https://prod-discovery.edx-cdn.org/media/course/image/ca9ef9ce-2205-4f67-8ca1-206865b322ad-d1ce4147fd2c.jpg,['Introductory'],['1–2 hours per week'],['16 Weeks'],['中文'],['中文'],['$49 USD'],['Peking University'],['https://www.edx.org/school/pekingx'],not-mentioned,Social Sciences,PekingX: 日本文化艺术专题 | Japanese Culture and Art,None,None,Unknown,49
138,Mawlana Jalal-UddinBalkhi - Rumi: TheGreatest Mystic Poet of……,https://www.edx.org/course/mawlana-jalal-uddin-balkhi-rumi-the-greatest-mystic-poet-of-all-time,https://prod-discovery.edx-cdn.org/media/course/image/f0b53143-9db1-4bf1-a57f-905b89d672c2-9656b504e017.jpeg,['Introductory'],['4–6 hours per week'],['6 Weeks'],['English'],['English'],['$45 USD'],['AfghanX'],['https://www.edx.org/school/afghanx'],not-mentioned,None,None,None,None,None,None
139,China Humanities: TheIndividual in ChineseCulture…,https://www.edx.org/course/china-humanities-the-individual-in-chinese-culture,https://prod-discovery.edx-cdn.org/media/course/image/7de05759-c0aa-4b9f-a7e7-67e1ad83c0bd-a029a21a9ac4.jpg,['Introductory'],['2–4 hours per week'],['8 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,Humanities,HarvardX: China Humanities: The Individual in Chinese Culture,None,None,16608,149
140,The History of MedievalMedicine Through JewishManuscripts…,https://www.edx.org/course/the-history-of-medieval-medicine-through-jewish-ma,https://prod-discovery.edx-cdn.org/media/course/image/3a22aa25-ad78-4d41-9cbe-7ddc0f368b24-71971227be7d.jpg,['Advanced'],[],['4 Weeks'],['English'],"['English', 'English']",['$29 USD'],['University of Pennsylvania'],['https://www.edx.org/school/pennx'],"5,964",History,PennX: The History of Medieval Medicine Through Jewish Manuscripts,4.8,5,7430,29
141,Democracy andDevelopment:Perspectives from Africa…,https://www.edx.org/course/democracy-and-development-perspectives-from-afri-2,https://prod-discovery.edx-cdn.org/media/course/image/b93b6ec9-2066-4287-b9a1-36a2f8706bcb-1cff63cece13.jpg,['Introductory'],['3–4 hours per week'],['9 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned,Humanities,MITx: Democracy and Development: Perspectives from Africa,None,None,Unknown,49
142,New Zealand Landscapeas Culture: Wai (Water)…,https://www.edx.org/course/new-zealand-landscape-as-culture-wai-water,https://prod-discovery.edx-cdn.org/media/course/image/6b38e73f-3bdf-4127-b627-2709a2f88ac6-a8145eb3013a.jpeg,['Introductory'],['3–5 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['Victoria University of Wellington'],['https://www.edx.org/school/wellingtonx'],not-mentioned,Art & Culture,WellingtonX: New Zealand Landscape as Culture: Wai (Water),None,None,Unknown,50
143,JuryX: Deliberations forSocial Change…,https://www.edx.org/course/juryx-deliberations-for-social-change,https://prod-discovery.edx-cdn.org/media/course/image/616a59d6-1e8c-4f3a-ba12-77d922ff5fee-9f0cb2df37b0.jpg,['Introductory'],['2–3 hours per week'],['7 Weeks'],['English'],['English'],['$75 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,Humanities,HarvardX: JuryX: Deliberations for Social Change,None,None,Unknown,75
144,À la découverte duthéâtre classiquefrançais – Tome 1…,https://www.edx.org/course/a-la-decouverte-du-theatre-classique-francais-tome,https://prod-discovery.edx-cdn.org/media/course/image/f1a96657-e39c-4a23-bb0a-b4c9ec231587-7f23d7d30c17.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['Français'],"['Français', 'Français']",[],['Sorbonne Université'],['https://www.edx.org/school/sorbonnex'],not-mentioned,Humanities,SorbonneX: À la découverte du théâtre classique français – Tome 1,None,None,Unknown,Unknown
145,"Was Alexander Great?The Life, Leadership, andLegacies of History’s Gr……",https://www.edx.org/course/was-alexander-great-the-life-leadership-and-legaci,https://prod-discovery.edx-cdn.org/media/course/image/c9954bae-aeb3-47bc-acc0-3a1cf1e6d28c-3e00e8ec437d.jpg,['Introductory'],['4–6 hours per week'],['4 Weeks'],['English'],"['English', 'English']",[],['Wellesley College'],['https://www.edx.org/school/wellesleyx'],not-mentioned,None,None,None,None,None,None
146,"U.S. Government -Foundations, Democracy& Politics…",https://www.edx.org/course/us-government-foundations-democracy-politics,https://prod-discovery.edx-cdn.org/media/course/image/1e296bc3-f76d-439d-9cad-5c3237322fc9-ce1678f53375.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['English'],['English'],['$49 USD'],['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned,Humanities,"PurdueX: U.S. Government - Foundations, Democracy & Politics",None,None,Unknown,49
147,Introduction to GermanOpera…,https://www.edx.org/course/introduction-to-german-opera,https://prod-discovery.edx-cdn.org/media/course/image/fcaefd42-06b2-4509-9607-70255ff57df4-18518d6d6ddc.jpg,['Introductory'],['3–4 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Dartmouth College'],['https://www.edx.org/school/dartmouthx'],not-mentioned,Art & Culture,DartmouthX: Introduction to German Opera,None,None,Unknown,49
148,Casing the Joint:Introducing Histories ofAustralian Crime…,https://www.edx.org/course/crim101x,https://prod-discovery.edx-cdn.org/media/course/image/306451fd-6eab-4beb-9e20-87bb856ed0a3-63c9c90fbda8.jpeg,['Intermediate'],['1–2 hours per week'],['3 Weeks'],['English'],['English'],['$49 USD'],"['The University of Newcastle, Australia']",['https://www.edx.org/school/newcastlex'],not-mentioned,History,NewcastleX: Casing the Joint: Introducing Histories of Australian Crime,None,None,Unknown,49
149,The Legacy of IslamicCivilization…,https://www.edx.org/course/the-legacy-of-islamic-civilization,https://prod-discovery.edx-cdn.org/media/course/image/7a338f55-e8d7-4e54-8a9d-be79af34077c-abaa6f5062c3.jpg,['Introductory'],[],['4 Weeks'],['English'],"['English', 'English']",['$25 USD'],['Bibliotheca Alexandrina'],['https://www.edx.org/school/bax'],not-mentioned,None,None,None,None,None,None
150,"Oscar Wilde, écrivain etpenseur du langage…",https://www.edx.org/course/oscar-wilde-ecrivain-et-penseur-du-langage,https://prod-discovery.edx-cdn.org/media/course/image/38ab405e-0ad9-4cbf-9e4b-8b86276c9903-0935006422ea.jpg,['Introductory'],['4–6 hours per week'],['6 Weeks'],['Français'],['Français'],['$50 USD'],['Sorbonne Université'],['https://www.edx.org/school/sorbonnex'],not-mentioned,Humanities,"SorbonneX: Oscar Wilde, écrivain et penseur du langage",None,None,Unknown,50
151,Antarctica: From Geologyto Human History…,https://www.edx.org/course/antarctica-from-geology-to-human-history,https://prod-discovery.edx-cdn.org/media/course/image/240e3327-bc8f-4682-a3cc-a7a43c925c7d-4b2d8d8c0fa1.jpg,['Introductory'],['2–5 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],['Victoria University of Wellington'],['https://www.edx.org/school/wellingtonx'],not-mentioned,History,WellingtonX: Antarctica: From Geology to Human History,None,None,Unknown,49
152,"Visualizing Imperialism &the Philippines,1898-1913…",https://www.edx.org/course/visualizing-imperialism-the-philippines-1898-1913,https://prod-discovery.edx-cdn.org/media/course/image/2dfcdfd2-3ce2-4c99-873f-75fe41ec7954-2de51de8e8ca.jpg,['Intermediate'],['1–4 hours per week'],['19 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned,History,"MITx: Visualizing Imperialism & the Philippines, 1898-1913",None,None,Unknown,49
153,"International Politics inthe Korean Peninsula,Part 1…",https://www.edx.org/course/international-politics-in-the-korean-peninsula-par,https://prod-discovery.edx-cdn.org/media/course/image/87a711e3-9a58-4782-9804-0eadbef1a52f-7de4d0811e85.jpg,['Introductory'],['4–5 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['Seoul National University'],['https://www.edx.org/school/snux'],not-mentioned,Social Sciences,"SNUx: International Politics in the Korean Peninsula, Part 1",None,None,Unknown,49
154,Oriental Beliefs: BetweenReason and Traditions…,https://www.edx.org/course/oriental-beliefs-between-reason-and-traditions,https://prod-discovery.edx-cdn.org/media/course/image/5fb1db19-de41-40d1-920c-dcac923d001e-1ce40711e479.jpg,['Introductory'],['2–3 hours per week'],['8 Weeks'],['English'],['English'],['$50 USD'],['Université catholique de Louvain'],['https://www.edx.org/school/louvainx'],not-mentioned,Humanities,LouvainX: Oriental Beliefs: Between Reason and Traditions,None,None,Unknown,50
155,The Book: Scrolls in theAge of the Book…,https://www.edx.org/course/the-book-scrolls-in-the-age-of-the-book,https://prod-discovery.edx-cdn.org/media/course/image/038c9a67-76bc-4e92-8346-9e7f5c9350ff-32a50a7cf4ad.jpg,['Introductory'],['2–4 hours per week'],['6 Weeks'],['English'],['English'],['$70 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],not-mentioned,Humanities,HarvardX: The Book: Scrolls in the Age of the Book,None,None,Unknown,Unknown
156,The Journey of Writingand Scripts in Egypt…,https://www.edx.org/course/the-journey-of-writing-and-scripts-in-egypt,https://prod-discovery.edx-cdn.org/media/course/image/54024c99-3f08-4593-953a-e46d065360c9-c3a81c5cf9a7.jpg,['Introductory'],[],['4 Weeks'],['English'],"['English', 'English']",['$25 USD'],['Bibliotheca Alexandrina'],['https://www.edx.org/school/bax'],not-mentioned,None,None,None,None,None,None
157,History of ChineseCostumes|中国服饰七千年…,https://www.edx.org/course/history-of-chinese-costumes,https://prod-discovery.edx-cdn.org/media/course/image/dc837f04-261a-4590-8f97-c6f7375cee18-84c323377cd8.jpg,['Introductory'],['3–6 hours per week'],['12 Weeks'],['中文'],['中文'],['$49 USD'],['Tsinghua University'],['https://www.edx.org/school/tsinghuax'],not-mentioned,Art & Culture,TsinghuaX: History of Chinese Costumes | 中国服饰七千年,None,None,Unknown,59
158,Democratic toAuthoritarian Rule…,https://www.edx.org/course/democratic-to-authoritarian-rule,https://prod-discovery.edx-cdn.org/media/course/image/194b2852-e6c0-4289-a67d-53d050ee280d-d2d603c7bc86.jpg,['Introductory'],['3–4 hours per week'],['1 Weeks'],['English'],['English'],['$25 USD'],['The University of Michigan'],['https://www.edx.org/school/michiganx'],not-mentioned,Social Sciences,MichiganX: Democratic to Authoritarian Rule,None,None,Unknown,25
159,The Presidency and theShape of the SupremeCourt…,https://www.edx.org/course/the-presidency-and-the-shape-of-the-supreme-court,https://prod-discovery.edx-cdn.org/media/course/image/f6aac002-61b7-4011-abec-352e9f71c973-241adf6b8f23.jpg,['Introductory'],['3–4 hours per week'],['5 Weeks'],['English'],['English'],['$50 USD'],['Trinity College'],['https://www.edx.org/school/trinityx'],not-mentioned,Law,TrinityX: The Presidency and the Shape of the Supreme Court,None,None,Unknown,50
160,Critical Issues in UrbanEducation…,https://www.edx.org/course/critical-issues-in-urban-education,https://prod-discovery.edx-cdn.org/media/course/image/a146f51b-be70-4834-8bc4-babeda665a48-05dd58ca3144.jpg,['Introductory'],['2–5 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['University of Chicago'],['https://www.edx.org/school/uchicagox'],not-mentioned,Social Sciences,UChicagoX: Critical Issues in Urban Education,None,None,Unknown,50
161,À la découverte duthéâtre classiquefrançais – Tome 2…,https://www.edx.org/course/a-la-decouverte-du-theatre-classique-francais-to-2,https://prod-discovery.edx-cdn.org/media/course/image/c3c50a95-d581-48d0-a112-024e6096ad86-6bb81799b732.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['Français'],"['Français', 'Français']",[],['Sorbonne Université'],['https://www.edx.org/school/sorbonnex'],not-mentioned,Humanities,SorbonneX: À la découverte du théâtre classique français – Tome 2,None,None,Unknown,Unknown
162,世界文化地理 | CulturalGeography of the World…,https://www.edx.org/course/cultural-geography-of-the-world,https://prod-discovery.edx-cdn.org/media/course/image/bc156cf1-330d-45ae-a112-fdc00c2c5f04-81758f8fea05.jpg,['Introductory'],['3–4 hours per week'],['4 Weeks'],['中文'],"['中文', '中文']",[],['Peking University'],['https://www.edx.org/school/pekingx'],not-mentioned,None,None,None,None,None,None
163,中国古代史（大学先修课) | AncientHistory of China…,https://www.edx.org/course/ancient-history-of-china,https://prod-discovery.edx-cdn.org/media/course/image/eeaa118e-58a4-488d-bcb7-28fb71352b47-4273da762466.jpg,['Introductory'],['4–6 hours per week'],['4 Weeks'],['中文'],['中文'],['$49 USD'],['Peking University'],['https://www.edx.org/school/pekingx'],not-mentioned,History,PekingX: 中国古代史（大学先修课) | Ancient History of China,None,None,Unknown,Unknown
164,Shakespeare on the Pageand in Performance:Young Love…,https://www.edx.org/course/shakespeare-on-the-page-and-in-performance-young-l,https://prod-discovery.edx-cdn.org/media/course/image/35dffcd7-9161-4a1b-9ce1-bdc2490eed1f-fc681b525484.png,['Introductory'],['4–5 hours per week'],['3 Weeks'],['English'],['English'],['$49 USD'],['Wellesley College'],['https://www.edx.org/school/wellesleyx'],not-mentioned,Humanities,WellesleyX: Shakespeare on the Page and in Performance: Young Love,None,None,Unknown,49
165,New Zealand Landscapeas Culture: Maunga(Mountains)…,https://www.edx.org/course/new-zealand-landscape-as-culture-maunga-mountains,https://prod-discovery.edx-cdn.org/media/course/image/4da89dbe-8c4c-419a-a9fe-4ba823c1348f-f1c76d86e650.jpg,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Victoria University of Wellington'],['https://www.edx.org/school/wellingtonx'],not-mentioned,Art & Culture,WellingtonX: New Zealand Landscape as Culture: Maunga (Mountains),None,None,Unknown,49
166,民俗学 | The Study of Folklore…,https://www.edx.org/course/the-study-of-folklore-2,https://prod-discovery.edx-cdn.org/media/course/image/559ad44c-8c8a-492e-8dbe-f2fa706a85ef.jpg,['Introductory'],[],['4 Weeks'],['中文'],"['中文', '中文']",[],['Peking University'],['https://www.edx.org/school/pekingx'],not-mentioned,None,None,None,None,None,None
167,New Zealand Landscapeas Culture: Motu(Islands)…,https://www.edx.org/course/new-zealand-landscape-as-culture-islands-nga-motu,https://prod-discovery.edx-cdn.org/media/course/image/f6993773-eb1a-4337-b0e7-c0271d43f558-35395a2d8dae.jpg,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],"['English, English']",['$49 USD'],['Victoria University of Wellington'],['https://www.edx.org/school/wellingtonx'],not-mentioned,Art & Culture,WellingtonX: New Zealand Landscape as Culture: Motu (Islands),None,None,Unknown,49
168,Shakespeare: On thePage and in Performance…,https://www.edx.org/course/shakespeare-on-the-page-and-in-performance,https://prod-discovery.edx-cdn.org/media/course/image/640d4efc-e4e1-40d7-89f1-693b4e9f0835.jpg,['Introductory'],['4–5 hours per week'],['4 Weeks'],['English'],"['English', 'English']",[],['Wellesley College'],['https://www.edx.org/school/wellesleyx'],not-mentioned,None,None,None,None,None,None
169,Deciphering Secrets:Unlocking theManuscripts of Medieva……,https://www.edx.org/course/deciphering-secrets-unlocking-the-manuscripts-of-m,https://prod-discovery.edx-cdn.org/media/course/image/bbd4fece-74ab-4840-bc51-b643c9a27741-f0cfac376df8.jpg,['Introductory'],['2–3 hours per week'],['7 Weeks'],['English'],['English'],['$50 USD'],['Universidad Carlos III de Madrid'],['https://www.edx.org/school/uc3mx'],not-mentioned,Humanities,UC3Mx: Deciphering Secrets: Unlocking the Manuscripts of Medieval Toledo (Spain),None,None,Unknown,50
170,Deciphering Secrets:Unlocking theManuscripts of Medieva……,https://www.edx.org/course/deciphering-secrets-unlocking-the-manuscripts-of-3,https://prod-discovery.edx-cdn.org/media/course/image/d79bdd87-4ad3-431a-8754-0d02e2ebf190-50c7108e2506.jpg,['Introductory'],['2–3 hours per week'],['7 Weeks'],['English'],['English'],['$50 USD'],['Universidad Carlos III de Madrid'],['https://www.edx.org/school/uc3mx'],not-mentioned,Humanities,UC3Mx: Deciphering Secrets: Unlocking the Manuscripts of Medieval Burgos (Spain),None,None,Unknown,50
171,Jazz Appreciation…,https://www.edx.org/course/jazz-appreciation-3,https://prod-discovery.edx-cdn.org/media/course/image/64fa5d30-49ae-44ad-b991-bae75587235b.jpg,['Introductory'],[],['4 Weeks'],['English'],"['English', 'English']",['$50 USD'],['The University of Texas at Austin'],['https://www.edx.org/school/utaustinx'],not-mentioned,None,None,None,None,None,None
172,A History of Violence:From the Middle Ages toModern Times…,https://www.edx.org/course/a-history-of-violence-from-the-middle-ages-to-mode,https://prod-discovery.edx-cdn.org/media/course/image/4011c49f-02e6-430d-a6eb-eec55ba1f610-a8ac5ecf1eef.jpg,['Introductory'],['2–3 hours per week'],['6 Weeks'],['English'],['English'],['$49 USD'],"['The University of Newcastle, Australia']",['https://www.edx.org/school/newcastlex'],not-mentioned,Humanities,NewcastleX: A History of Violence: From the Middle Ages to Modern Times,None,None,Unknown,49
173,Modern JapaneseArchitecture: From MeijiRestoration to Today…,https://www.edx.org/course/modern-japanese-architecture-from-meiji-restoratio,https://prod-discovery.edx-cdn.org/media/course/image/7d741bf0-41c3-4835-831f-56ea1dc7081d-40fcd23aed63.jpg,['Intermediate'],[],['6 Weeks'],['English'],"['English', 'English']",['$69 USD'],['Tokyo Institute of Technology'],['https://www.edx.org/school/tokyotechx'],not-mentioned,Engineering,TokyoTechX: Modern Japanese Architecture: From Meiji Restoration to Today,None,None,Unknown,69
174,Introduction to Sociology…,https://www.edx.org/course/introduction-to-sociology-2,https://prod-discovery.edx-cdn.org/media/course/image/77a8e8c7-0473-4912-bbeb-6261fae6467a-a25fe3e4e94e.jpg,['Introductory'],[],['8 Weeks'],['English'],"['English', 'English']",['$49 USD'],['Arizona State University'],['https://www.edx.org/school/asux'],not-mentioned,Social Sciences,ASUx: Introduction to Sociology,None,None,Unknown,49
175,Western Civilization:Ancient and MedievalEurope…,https://www.edx.org/course/western-civilization-ancient-and-medieval-europe-2,https://prod-discovery.edx-cdn.org/media/course/image/a6474b76-27be-4962-a8e7-2b10e9c78bdd-b5fafc95c9ae.jpg,['Introductory'],['18–20 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['Arizona State University'],['https://www.edx.org/school/asux'],not-mentioned,Humanities,ASUx: Western Civilization: Ancient and Medieval Europe,None,None,Unknown,49
176,A History of EuropeanEmpires: 1400–1522…,https://www.edx.org/course/a-history-of-european-empires-14001522,https://prod-discovery.edx-cdn.org/media/course/image/b4f17ad1-b5e0-46d5-a996-280474a9f21c-9f8ad0ceb115.jpeg,['Introductory'],['2–3 hours per week'],['3 Weeks'],['English'],['English'],['$49 USD'],"['The University of Newcastle, Australia']",['https://www.edx.org/school/newcastlex'],not-mentioned,History,NewcastleX: A History of European Empires: 1400–1522,None,None,Unknown,49
177,"Fairy Tales: Meanings,Messages, and Morals…",https://www.edx.org/course/fairy-tales-meanings-messages-and-morals,https://prod-discovery.edx-cdn.org/media/course/image/0d98c422-3f0d-463f-8764-8f0daecd0bd6-9a24f8dbf472.jpeg,['Introductory'],['2–3 hours per week'],['3 Weeks'],['English'],['English'],['$49 USD'],"['The University of Newcastle, Australia']",['https://www.edx.org/school/newcastlex'],not-mentioned,Literature,"NewcastleX: Fairy Tales: Meanings, Messages, and Morals",None,None,Unknown,49
