course_title,url,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,rating,number_of_ratings,update_date,number_of_students,time_since_creation
"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",https://www.udemy.com/sap-crystal-reportsmaster-detailcross-tabsub-reports/,50,13,1,9,All Levels,2.0,2016-12-26T17:39:05Z,Finance & Accounting,3.2,19.0,12/2016,161.0,8
An Abundance Mindset: How to Craft Yours,https://www.udemy.com/mindset-of-a-6-figure-income-earner-how-to-craft-yours/,50,33,4,40,Beginner Level,4.5,2016-01-22T21:45:33Z,Finance & Accounting,4.2,30.0,1/2016,195.0,8
Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,https://www.udemy.com/forex-robot-trading-trend-is-our-friend-algo-trend/,120,54,11,12,All Levels,0.6,2016-12-05T17:01:51Z,Finance & Accounting,2.6,16.0,3/2017,81.0,8
How to Build a Massive Retirement Plan from Scratch!,https://www.udemy.com/take-the-bulletproof-401k-super-charger-rat-race-off-ramp/,200,1498,30,23,Beginner Level,2.0,2015-06-22T23:04:23Z,Finance & Accounting,4.1,56.0,10/2018,1704.0,9
Financial modeling: Build a forward looking integrated model,https://www.udemy.com/how-to-make-an-integrated-financial-model/,20,2317,44,22,All Levels,2.0,2015-05-05T17:47:11Z,Finance & Accounting,4.0,124.0,5/2024,2659.0,9
Learn to Trade Crypto - FOREX and Stocks! Technical Analysis,https://www.udemy.com/learn-technical-analysis-from-beginner-to-pro/,200,1199,37,79,All Levels,18.0,2016-01-01T19:04:07Z,Finance & Accounting,4.0,115.0,1/2022,1747.0,8
Algorithmic futures trading - Investing with no experience,https://www.udemy.com/algorithmic-futures-trading/,195,1512,23,19,All Levels,1.5,2015-09-14T18:24:03Z,Finance & Accounting,3.0,38.0,11/2016,1658.0,9
Succeed in Forex Even if You Don't Know Where to Start!,https://www.udemy.com/forex-trading-for-beginners-live-fx-examples/,200,1806,38,211,Beginner Level,19.5,2015-06-19T22:16:52Z,Finance & Accounting,3.8,64.0,1/2017,1968.0,9
Hedge Fund Accounting and Valuation,https://www.udemy.com/hedge-fund-accounting-and-valuation/,20,668,10,11,All Levels,0.5666666666666667,2016-04-28T16:39:21Z,Finance & Accounting,3.0,109.0,5/2016,1220.0,8
Ethereum Course for Investors,https://www.udemy.com/how-to-purchase-store-and-profit-from-ethereuem/,40,111,20,11,All Levels,1.0,2016-06-09T04:21:43Z,Finance & Accounting,3.2,24.0,6/2016,152.0,8
Using Xero for your bookkeeping needs do beautiful business,https://www.udemy.com/xero-101/,95,39,6,28,Beginner Level,1.0,2017-02-27T16:33:33Z,Finance & Accounting,3.6,20.0,2/2017,97.0,7
Capital Markets Immersion: A Financial Markets Introduction,https://www.udemy.com/capital-market-immersion/,195,613,33,142,All Levels,24.5,2014-02-25T15:43:53Z,Finance & Accounting,4.6,2834.0,1/2024,16980.0,10
