url,title,subject,level,total_length,rating,num_ratings,price,num_students,past_num_students,online_academy
https://www.udemy.com/full-stack-universal-react-with-redux-express-and-mongodb/,"Full stack Universal React with Redux, Node js and MongoDB",Development,Intermediate Level,5.0,3.5,736.0,195.0,3508.0,1121.0,Udemy
https://www.udemy.com/mastering-futures-options-for-beginners-your-top-10-plays/,Mastering Futures Options for Beginners - Your Top 5 Plays!,Finance & Accounting,Beginner Level,2.5,3.5,24.0,200.0,1297.0,1185.0,Udemy
https://www.udemy.com/arpeggios-for-guitar-made-easy/,Arpeggios for Guitar made Easy - The Magic of Triads,Music,All Levels,3.0,4.6,114.0,65.0,1271.0,26.0,Udemy
https://www.edx.org/course/quantum-computing-i-fundamentals,PurdueX: Applied Quantum Computing I: Fundamentals,Development,Expert Level,40.0,4.5066793893129775,21.236641221374047,833.33,5776.0,51943.173363949485,edX
https://www.udemy.com/kids-coding-beginner-html/,Kids Coding - Beginner HTML,Development,Beginner Level,1.0,4.5,244.0,20.0,7111.0,6628.0,Udemy
https://www.udemy.com/try-angularjs/,Try AngularJS: Beginner's Guide to Front End Web Development,Development,Beginner Level,4.5,4.3,1728.2865544013123,50.0,84587.0,16926.0,Udemy
https://www.udemy.com/caged-system-guitar-level-1/,CAGED Pentatonic System for Guitar - Level 1,Music,All Levels,1.5,4.2,179.0,45.0,2093.0,1329.0,Udemy
https://www.udemy.com/learn-to-play-piano-from-a-concert-pianist-for-beginners/,Learn to Play Piano From a Concert Pianist,Music,Beginner Level,1.0,4.3,68.0,200.0,7730.0,3206.0,Udemy
https://www.edx.org/course/word-intermedio-herramientas-de-formato-y-producti,UPValenciaX: Word intermedio: herramientas de formato y productividad,Development,Intermediate Level,30.0,4.5066793893129775,21.236641221374047,45.0,21816.0,11130.0,edX
https://www.udemy.com/practical-javascript-javascript-basics/,Basic JavaScript: Build 4 Basic JavaScript Projects,Development,Beginner Level,4.5,4.4,77.0,40.0,860.0,670.0,Udemy
https://www.edx.org/course/blockchain-and-fintech-basics-applications-and-lim,"HKUx: Blockchain and FinTech: Basics, Applications, and Limitations",Development,Beginner Level,24.0,4.5066793893129775,21.236641221374047,199.0,38311.0,22658.0,edX
https://www.edx.org/course/online-advertising-social-media,"UMD, USMx: Online Advertising & Social Media",Business,Beginner Level,20.0,4.5,13.0,199.0,37359.0,51943.173363949485,edX
https://www.udemy.com/the-8020-beginner-guitar-course/,The 80/20 Beginner Guitar Course,Music,Beginner Level,3.0,4.7,41.0,50.0,1367.0,1269.0,Udemy
https://www.udemy.com/forex-trading-using-professional-indicators-by-top-traders/,Forex Trading using professional indicators by TOP traders,Finance & Accounting,All Levels,3.5,4.1,128.0,200.0,2150.0,1699.0,Udemy
https://www.edx.org/course/quantum-mechanics-for-scientists-and-engineers-1,StanfordOnline: Quantum Mechanics for Scientists and Engineers 1,Development,Beginner Level,90.0,4.5,18.0,159.0,30743.0,51943.173363949485,edX
https://www.udemy.com/guitar-lessons-learn-ragtime-blues-guitar/,Blues Guitar Lessons - Ragtime Blues Guitar,Music,Expert Level,2.0,3.9,13.0,20.0,189.0,59.0,Udemy
https://www.udemy.com/photoshop-photo-editing/,Photo Editing in Photoshop - Beginner to Advanced in 1 Hour,Design,Beginner Level,1.0,3.6,16.0,20.0,721.0,662.0,Udemy
https://www.udemy.com/php-learn-to-upload-files-to-amazon-s3-and-use-cloudfront/,PHP : Learn to upload files to Amazon S3 and use CloudFront,Development,All Levels,3.0,4.2,83.0,50.0,1428.0,1216.0,Udemy
https://www.edx.org/course/an-introduction-to-credit-risk-management,DelftX: An Introduction to Credit Risk Management,Business,Intermediate Level,49.0,4.4,5.0,199.0,60730.0,54382.0,edX
https://www.udemy.com/piano-for-busy-people/,Play Piano To-day! - Beginner Piano Lessons For Busy People!,Music,Beginner Level,4.0,4.4,40.0,100.0,621.0,476.0,Udemy
https://www.edx.org/course/microeconomics-business,DoaneX: Microeconomics for Business Professionals,Finance & Accounting,Beginner Level,144.0,4.4,5.0,119.0,15098.0,11096.0,edX
https://www.udemy.com/tradingview/,トレーディングビュー徹底攻略,Finance & Accounting,All Levels,3.0,3.8,1728.2865544013123,55.0,12469.926315789471,952.0,Udemy
https://www.udemy.com/complete-wordpress-theme-development-course/,Complete Wordpress Theme Development Course,Development,All Levels,6.5,4.1,614.0,150.0,2461.0,1050.0,Udemy
https://www.udemy.com/cartoonycharacters/,Drawing Cartoony Characters,Design,Beginner Level,2.0,4.2,324.0,20.0,2730.0,1564.0,Udemy
https://www.udemy.com/learn-how-to-convert-psd-to-html-and-css-responsive/,Learn how to convert PSD to HTML and CSS responsive,Development,All Levels,2.5,3.6,156.0,30.0,12207.0,5324.0,Udemy
https://www.edx.org/course/algebre-lineaire-partie-2,EPFLx: Algèbre Linéaire (Partie 2),Sciences,Beginner Level,40.0,4.5066793893129775,21.236641221374047,179.0,6795.0,6115.0,edX
https://www.udemy.com/curso-de-photoshop-composicao-bombeiros/,Photoshop Especialização Tratamento e Manipulação de imagem,Design,All Levels,4.0,4.5,1.142,30.0,5938.0,38.0,Udemy
https://www.edx.org/course/decouvrir-la-science-politique-4,LouvainX: Découvrir la science politique,Social Sciences,Intermediate Level,60.0,4.5066793893129775,21.236641221374047,100.0,30856.0,27795.0,edX
https://www.udemy.com/mastering-thymeleaf-with-spring/,Mastering Thymeleaf with Spring Boot,Development,All Levels,4.5,4.7,1062.0,75.0,17155.0,942.0,Udemy
https://www.edx.org/course/omnichannel-strategy-and-management,DartmouthX: Omnichannel Strategy and Management,Business,Intermediate Level,20.0,4.5,6.0,249.0,19757.0,16095.0,edX
https://www.udemy.com/learn-how-css-positioning-works-a/,Css Positioning For Absolute Beginners: A Basic Introduction,Development,Beginner Level,1.0,4.5,145.0,65.0,11543.0,4797.0,Udemy
https://www.udemy.com/learn-html-5-in-1-hour/,Learn HTML 5 in 1 hour,Development,Beginner Level,1.0,4.6,321.0,100.0,21294.0,11643.0,Udemy
https://www.edx.org/course/agricultural-water-management,"WageningenX: Agricultural Water Management: Water,-Society and Technology Interactions",Sciences,Intermediate Level,50.0,4.5066793893129775,21.236641221374047,169.0,5206.0,51943.173363949485,edX
https://www.edx.org/course/classroom-strategies-for-inquiry-based-learning-2,UTAustinX: Classroom Strategies for Inquiry-Based Learning,Teaching & Academics,Beginner Level,8.0,4.5066793893129775,21.236641221374047,149.0,26196.0,21987.0,edX
https://www.udemy.com/word-swag/,Word Swag : Create Stunning Images with the Word Swag App,Design,All Levels,1.0,4.5,48.0,100.0,5391.0,2416.0,Udemy
https://www.edx.org/course/el-cerebro-y-las-emociones-en-el-lenguaje,URosarioX: El cerebro y las emociones en el lenguaje,Business,Beginner Level,25.0,4.6,5.0,49.0,63035.0,42852.0,edX
https://www.edx.org/course/digital-design-2,HarveyMuddX: Digital Design,Development,Beginner Level,84.0,4.5066793893129775,21.236641221374047,189.0,9928.0,51943.173363949485,edX
https://www.udemy.com/creating-interactive-html5-video/,Creating Interactive HTML5 Video,Development,Intermediate Level,2.0,4.3,181.0,25.0,1530.0,838.0,Udemy
https://www.edx.org/course/foundations-of-modern-finance-ii,MITx: Foundations of Modern Finance II,Finance & Accounting,Expert Level,168.0,4.5066793893129775,21.236641221374047,549.0,24611.0,6841.0,edX
https://www.edx.org/course/leadership-and-organizational-behavior,TecdeMonterreyX: Leadership and organizational behavior,Business,Intermediate Level,32.0,4.5066793893129775,21.236641221374047,189.0,9364.0,51943.173363949485,edX
